CARTE;TOTAL;ALIMENTAIRE;LIQUIDES;AUTO;HYGIENE;BIJOUX;BRICOLAGE;CULTURE;MAISON;MULTIMEDIA;SPORT;VETEMENT;BEBE;ELECTROMENAGER;JARDIN
9000001;689;246;118;0;99;20;0;59;30;30;20;49;0;20;0
9000004;8958;4184;1068;26;890;0;178;534;267;267;0;445;652;178;267
9000009;8349;4409;1126;0;938;188;0;563;281;0;188;469;0;188;0
9000010;4617;2976;458;38;382;76;76;229;114;0;0;191;0;76;0
9000011;5275;2610;666;56;555;110;111;333;167;167;111;278;0;111;0
9000015;8480;4315;1102;0;918;184;184;551;275;0;184;459;0;184;125
9000016;6024;3077;786;0;655;0;131;393;196;0;131;327;0;131;196
9000020;2986;1691;432;36;360;0;0;16;108;0;0;180;56;0;108
9000023;5977;3222;823;69;686;0;137;13;206;206;137;343;0;137;0
9000032;13358;7869;1628;136;457;0;0;814;407;407;271;678;12;271;407
9000037;6126;2938;750;63;625;125;125;375;188;188;125;313;0;125;188
9000042;1016;555;142;12;118;0;0;71;35;0;24;59;0;0;0
9000045;2589;1308;334;0;278;56;0;167;84;84;56;139;0;0;84
9000047;5189;2931;748;0;624;0;125;0;187;0;125;312;0;125;12
9000048;5525;2825;721;60;601;55;0;361;180;0;120;301;0;120;180
9000054;3932;1966;502;42;418;0;84;251;125;125;0;209;0;84;125
9000056;12409;5893;1505;125;1254;0;0;752;376;376;251;627;0;251;999
9000061;10722;5346;1146;95;955;0;191;573;286;286;0;0;0;191;1652
9000064;9343;5003;910;425;758;0;427;455;227;227;152;379;0;152;227
9000074;2546;1360;347;29;289;0;0;174;87;0;58;145;0;58;0
9000085;7016;3008;768;64;640;128;128;384;192;1257;0;320;0;128;0
9000087;1654;854;218;18;182;0;36;109;55;0;36;91;0;0;55
9000088;8813;4454;1137;95;948;190;190;569;284;284;0;474;0;190;0
9000089;3193;948;599;50;499;0;0;299;150;150;100;249;0;0;150
9000100;5020;2677;683;0;570;0;0;342;171;0;114;285;65;114;0
9000109;6204;3276;837;0;697;139;0;418;209;0;139;349;0;139;0
9000110;4266;1930;493;41;411;0;360;456;123;123;0;205;0;0;123
9000111;1173;612;156;13;130;0;26;0;39;39;26;65;0;26;39
9000117;4008;1998;510;43;425;12;85;255;128;128;85;213;0;0;128
9000119;3208;2005;512;43;78;0;85;16;128;0;0;213;0;0;128
9000121;8140;4683;1022;236;125;170;0;511;255;255;0;426;;0;456
9000123;710;371;95;0;79;0;0;47;24;0;16;39;0;16;24
9000124;2410;1332;340;0;284;0;0;170;85;0;0;142;0;57;0
9000126;1344;702;179;0;149;30;0;90;45;0;0;75;0;30;45
9000129;2576;517;413;34;345;0;0;207;103;460;0;172;325;0;0
9000132;1496;635;162;0;135;27;0;81;41;41;0;68;266;0;41
9000135;4069;2125;543;45;452;90;0;271;136;0;90;226;0;90;0
9000136;8549;4656;1189;0;991;198;198;594;297;13;198;0;16;198;0
9000139;6809;3829;978;48;815;0;0;489;244;0;163;0;0;0;244
9000140;4337;2372;606;50;99;0;101;303;151;151;0;252;0;101;151
9000141;8479;4471;1142;95;951;0;0;571;285;285;0;476;0;190;12
9000144;768;274;132;0;110;22;0;66;33;33;22;55;0;22;0
9000151;5794;2992;764;64;637;0;0;382;191;0;127;318;0;127;191
9000152;2813;966;504;42;420;0;0;252;126;126;84;210;0;84;0
9000160;1709;536;137;0;114;0;23;68;34;659;23;57;0;23;34
9000164;500;256;65;5;54;11;11;33;16;0;11;27;0;11;0
9000170;2206;1385;354;29;125;0;59;12;88;88;0;65;0;0;0
9000172;1996;1031;263;0;219;44;44;132;66;0;44;110;0;44;0
9000173;5904;3078;786;0;655;0;0;393;196;0;131;327;10;131;196
9000180;2615;1526;354;53;165;0;105;44;158;0;0;52;0;0;158
9000181;2844;1536;392;0;327;65;0;196;98;0;0;163;0;65;0
9000185;2834;1404;358;0;299;60;60;179;90;26;60;149;0;60;90
9000187;3860;1846;471;325;393;0;79;236;118;0;0;196;0;79;118
9000188;2615;1413;361;0;301;60;0;180;90;0;0;150;0;60;0
9000192;6899;4065;856;0;713;143;0;428;214;125;0;0;0;143;214
9000196;4010;2086;533;15;444;89;89;266;133;0;0;222;0;0;133
9000200;1041;572;118;0;99;20;20;59;30;30;20;49;25;0;0
9000201;10054;4680;1195;100;996;85;0;597;0;299;199;498;0;199;1206
9000207;4142;2238;571;0;476;0;0;286;143;0;95;238;0;95;0
9000211;1867;929;237;20;198;0;0;119;59;59;40;99;10;40;59
9000214;2011;1015;259;22;216;0;43;130;65;65;43;108;0;0;45
9000217;8276;4138;1056;88;880;0;176;528;264;264;0;440;0;176;264
9000222;1809;939;240;32;200;40;40;120;60;0;0;100;0;40;0
9000223;5527;2377;607;51;253;101;352;303;152;0;0;253;0;55;1024
9000224;5567;3111;655;55;546;0;0;327;164;164;109;273;0;0;164
9000226;5425;2742;700;58;583;117;0;350;175;175;117;292;0;117;0
